Postcode,Bevolking,Inkomen,Gemiddelde_leeftijd,Private_households,Institutional_household,Single_persons,Single_parent,Couple_with_kids,Couple_no_kids,Kid_living_with_parents,Other_household_member,nulTotTien,tienTotTwintig,twintigTotDertig,dertigTotVeertig,veertigTotVijftig,vijftigTotZestig,zestigTotZeventig,zeventigPlus
8626,145.0,35.8,44.16666666666666,1.0,0.0,0.10344827586206896,0.0,0.2413793103448276,0.41379310344827586,0.2413793103448276,0.0,0.037037037037037035,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.2962962962962963,0.14814814814814814,0.07407407407407407
8627,365.0,38.7,41.48648648648648,1.0,0.0,0.0821917808219178,0.0136986301369863,0.273972602739726,0.3013698630136986,0.3013698630136986,0.0273972602739726,0.10810810810810811,0.14864864864864866,0.10810810810810811,0.08108108108108109,0.12162162162162163,0.20270270270270271,0.10810810810810811,0.12162162162162163
8628,240.0,38.7,43.88297872340426,1.0,0.0,0.0625,0.020833333333333332,0.2916666666666667,0.3333333333333333,0.2916666666666667,0.0,0.0425531914893617,0.19148936170212766,0.0851063829787234,0.0851063829787234,0.14893617021276595,0.1702127659574468,0.14893617021276595,0.1276595744680851
8629,1640.0,38.8,41.679104477611936,1.0,0.0,0.10975609756097561,0.021341463414634148,0.27439024390243905,0.27439024390243905,0.3048780487804878,0.01524390243902439,0.10746268656716418,0.14626865671641792,0.08955223880597014,0.09850746268656717,0.14925373134328357,0.15223880597014924,0.14029850746268657,0.11641791044776119
8631,50.0,38.8,43.86363636363637,1.0,0.0,0.0,0.1,0.3,0.1,0.4,0.1,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091
8632,190.0,38.8,42.91666666666666,1.0,0.0,0.10526315789473684,0.02631578947368421,0.21052631578947367,0.34210526315789475,0.2894736842105263,0.02631578947368421,0.1111111111111111,0.1388888888888889,0.08333333333333333,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111
8633,645.0,39.2,45.988372093023266,1.0,0.0,0.11627906976744186,0.031007751937984496,0.2558139534883721,0.32558139534883723,0.26356589147286824,0.007751937984496124,0.10077519379844961,0.10077519379844961,0.06976744186046512,0.10852713178294573,0.13178294573643412,0.14728682170542637,0.16279069767441862,0.17829457364341086
8635,415.0,38.5,41.63580246913581,1.0,0.0,0.0963855421686747,0.024096385542168676,0.27710843373493976,0.26506024096385544,0.3253012048192771,0.012048192771084338,0.12345679012345678,0.12345679012345678,0.08641975308641975,0.12345679012345678,0.13580246913580246,0.14814814814814814,0.14814814814814814,0.1111111111111111
8636,105.0,38.5,40.25,1.0,0.0,0.14285714285714285,0.0,0.23809523809523808,0.3333333333333333,0.2857142857142857,0.0,0.05,0.25,0.1,0.05,0.1,0.25,0.15,0.05
8637,280.0,40.1,40.235849056603776,1.0,0.0,0.08928571428571429,0.017857142857142856,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.0,0.16981132075471697,0.09433962264150944,0.05660377358490566,0.1320754716981132,0.1509433962264151,0.1509433962264151,0.16981132075471697,0.07547169811320754
8641,95.0,40.1,43.80434782608695,1.0,0.0,0.21052631578947367,0.0,0.21052631578947367,0.3684210526315789,0.21052631578947367,0.0,0.13043478260869565,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.21739130434782608,0.13043478260869565
8642,70.0,40.1,36.16666666666666,1.0,0.0,0.14285714285714285,0.0,0.35714285714285715,0.07142857142857142,0.42857142857142855,0.0,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333
8644,115.0,40.1,44.615384615384606,1.0,0.0,0.13043478260869565,0.043478260869565216,0.17391304347826086,0.391304347826087,0.2608695652173913,0.0,0.07692307692307693,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.07692307692307693
8647,360.0,37.6,42.91666666666666,1.0,0.0,0.1111111111111111,0.013888888888888888,0.2638888888888889,0.3194444444444444,0.2777777777777778,0.013888888888888888,0.09722222222222222,0.1527777777777778,0.06944444444444445,0.09722222222222222,0.1388888888888889,0.1388888888888889,0.18055555555555555,0.125
8651,3015.0,37.8,44.43944353518822,1.0,0.0,0.13432835820895522,0.029850746268656716,0.2504145936981758,0.3018242122719735,0.2752902155887231,0.008291873963515755,0.09001636661211129,0.1407528641571195,0.08346972176759411,0.09001636661211129,0.1260229132569558,0.16366612111292964,0.14893617021276595,0.15711947626841244
8658,75.0,37.8,36.785714285714285,1.0,0.0,0.06666666666666667,0.0,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.0,0.21428571428571427,0.0,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0
8701,8040.0,29.4,44.457196029776675,0.970771144278607,0.029228855721393034,0.19527363184079602,0.034203980099502485,0.20833333333333334,0.26990049751243783,0.2562189054726368,0.006840796019900498,0.10421836228287841,0.11538461538461539,0.10794044665012408,0.10732009925558313,0.12220843672456576,0.1327543424317618,0.11538461538461539,0.19478908188585609
8702,2045.0,42.2,39.785714285714285,0.9951100244498777,0.004889975550122249,0.05623471882640587,0.017114914425427872,0.31784841075794623,0.26894865525672373,0.3276283618581907,0.007334963325183374,0.11428571428571428,0.18333333333333332,0.05714285714285714,0.0880952380952381,0.17857142857142858,0.16904761904761906,0.13095238095238096,0.07857142857142857
8711,4435.0,32.6,45.07900677200903,0.9875986471251409,0.012401352874859075,0.1600901916572717,0.02705749718151071,0.2277339346110485,0.30214205186020293,0.2615558060879369,0.009019165727170236,0.10045146726862303,0.12076749435665914,0.0835214446952596,0.10158013544018059,0.13318284424379231,0.12866817155756208,0.15011286681715574,0.18171557562076748
8713,860.0,32.9,44.375,1.0,0.0,0.16279069767441862,0.03488372093023256,0.22674418604651161,0.3023255813953488,0.2616279069767442,0.011627906976744186,0.10227272727272728,0.125,0.07386363636363637,0.10227272727272728,0.14772727272727273,0.125,0.14772727272727273,0.17613636363636365
8715,940.0,32.0,45.29891304347826,1.0,0.0,0.16489361702127658,0.015957446808510637,0.21808510638297873,0.3404255319148936,0.25,0.010638297872340425,0.09239130434782608,0.11413043478260869,0.10326086956521739,0.08152173913043478,0.11956521739130435,0.15760869565217392,0.16304347826086957,0.16847826086956522
8721,775.0,36.1,44.44968553459121,1.0,0.0,0.16129032258064516,0.012903225806451613,0.25161290322580643,0.2838709677419355,0.27741935483870966,0.012903225806451613,0.1069182389937107,0.12578616352201258,0.06918238993710692,0.09433962264150944,0.11949685534591195,0.1761006289308176,0.15723270440251572,0.1509433962264151
8722,345.0,37.2,42.429577464788736,1.0,0.0,0.13043478260869565,0.014492753623188406,0.2753623188405797,0.2753623188405797,0.30434782608695654,0.0,0.09859154929577464,0.14084507042253522,0.08450704225352113,0.08450704225352113,0.15492957746478872,0.2112676056338028,0.1267605633802817,0.09859154929577464
8723,2695.0,31.7,47.50922509225092,0.9814471243042672,0.01855287569573284,0.150278293135436,0.022263450834879406,0.22263450834879406,0.3228200371057514,0.2541743970315399,0.00927643784786642,0.0959409594095941,0.1033210332103321,0.08856088560885608,0.07933579335793357,0.11070110701107011,0.15498154981549817,0.14760147601476015,0.21955719557195572
8724,340.0,51.4,39.84848484848485,1.0,0.0,0.058823529411764705,0.0,0.3235294117647059,0.2647058823529412,0.35294117647058826,0.0,0.12121212121212122,0.15151515151515152,0.10606060606060606,0.09090909090909091,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.07575757575757576
8731,2285.0,34.6,44.48876404494382,0.973741794310722,0.0262582056892779,0.14442013129102846,0.0262582056892779,0.24070021881838075,0.2778993435448578,0.27571115973741794,0.0087527352297593,0.09662921348314607,0.1348314606741573,0.09213483146067415,0.11235955056179775,0.11685393258426967,0.14157303370786517,0.1258426966292135,0.1797752808988764
8732,225.0,39.1,45.10869565217392,1.0,0.0,0.13333333333333333,0.022222222222222223,0.2222222222222222,0.35555555555555557,0.26666666666666666,0.0,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.15217391304347827,0.17391304347826086,0.21739130434782608,0.10869565217391304
8733,40.0,39.1,48.611111111111114,0.875,0.125,0.125,0.0,0.125,0.5,0.125,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111
8734,955.0,37.8,40.208333333333336,1.0,0.0,0.09947643979057591,0.02617801047120419,0.2670157068062827,0.2931937172774869,0.3089005235602094,0.005235602094240838,0.109375,0.14583333333333334,0.10416666666666667,0.11458333333333333,0.15625,0.140625,0.11979166666666667,0.109375
8735,240.0,37.8,38.6,1.0,0.0,0.08333333333333333,0.020833333333333332,0.2916666666666667,0.2708333333333333,0.3125,0.020833333333333332,0.12,0.18,0.1,0.1,0.14,0.14,0.14,0.08
8736,185.0,37.8,37.638888888888886,1.0,0.0,0.08108108108108109,0.02702702702702703,0.2972972972972973,0.24324324324324326,0.35135135135135137,0.0,0.1388888888888889,0.1388888888888889,0.08333333333333333,0.16666666666666666,0.1388888888888889,0.16666666666666666,0.08333333333333333,0.08333333333333333
8737,115.0,37.8,33.1,1.0,0.0,0.08695652173913043,0.0,0.34782608695652173,0.17391304347826086,0.391304347826087,0.0,0.12,0.32,0.08,0.0,0.16,0.24,0.04,0.04
8741,120.0,37.8,40.0,1.0,0.0,0.041666666666666664,0.0,0.375,0.25,0.3333333333333333,0.0,0.1,0.15,0.15,0.05,0.1,0.25,0.2,0.0
8742,295.0,39.5,42.91666666666666,1.0,0.0,0.1016949152542373,0.0,0.288135593220339,0.3389830508474576,0.2711864406779661,0.0,0.06666666666666667,0.13333333333333333,0.15,0.08333333333333333,0.1,0.21666666666666667,0.15,0.1
8743,85.0,39.5,38.6764705882353,1.0,0.0,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.0,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.058823529411764705
8744,265.0,39.5,39.77272727272727,1.0,0.0,0.07547169811320754,0.018867924528301886,0.32075471698113206,0.22641509433962265,0.3584905660377358,0.0,0.07272727272727272,0.21818181818181817,0.10909090909090909,0.07272727272727272,0.14545454545454545,0.18181818181818182,0.09090909090909091,0.10909090909090909
8745,45.0,39.5,51.25,1.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.25
8746,160.0,39.5,42.22222222222222,1.0,0.0,0.125,0.03125,0.28125,0.25,0.3125,0.0,0.08333333333333333,0.1388888888888889,0.1111111111111111,0.08333333333333333,0.1388888888888889,0.2222222222222222,0.16666666666666666,0.05555555555555555
8747,295.0,39.2,43.839285714285715,1.0,0.0,0.1016949152542373,0.0,0.288135593220339,0.3050847457627119,0.3050847457627119,0.0,0.10714285714285714,0.10714285714285714,0.08928571428571429,0.08928571428571429,0.10714285714285714,0.21428571428571427,0.17857142857142858,0.10714285714285714
8748,1770.0,33.0,44.40201729106629,0.9745762711864406,0.025423728813559324,0.15819209039548024,0.01977401129943503,0.2344632768361582,0.2966101694915254,0.2570621468926554,0.00847457627118644,0.12103746397694524,0.09798270893371758,0.09510086455331412,0.10951008645533142,0.12680115273775217,0.13256484149855907,0.14985590778097982,0.16714697406340057
8749,590.0,37.3,43.31896551724138,1.0,0.0,0.13559322033898305,0.025423728813559324,0.2542372881355932,0.3050847457627119,0.2711864406779661,0.00847457627118644,0.1206896551724138,0.09482758620689655,0.09482758620689655,0.09482758620689655,0.12931034482758622,0.19827586206896552,0.16379310344827586,0.10344827586206896
8751,165.0,37.3,51.71875,1.0,0.0,0.24242424242424243,0.030303030303030304,0.15151515151515152,0.3333333333333333,0.18181818181818182,0.06060606060606061,0.0625,0.0625,0.0625,0.09375,0.125,0.15625,0.21875,0.21875
8752,25.0,37.3,70.0,1.0,0.0,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5
